preço (R$),endereço,área (m2),quartos,vagas,bairro
1295000.0,Rua Paula Ney,94,3,2, Aclimação
1410000.0,Rua Castro Alves,195,4,3, Aclimação
899000.0,Rua Urano,118,3,2, Aclimação
540000.0,Rua Álvaro Guimarães,29,0,1, Aclimação
1175000.0,Rua Bartolomeu de Gusmão,135,4,2, Aclimação
633000.0,Rua Rodrigo Cláudio,65,3,2, Aclimação
1570000.0,Rua Rodrigo Cláudio,184,3,2, Aclimação
2150000.0,Rua Machado de Assis,168,3,3, Aclimação
460000.0,Rua Machado de Assis,84,2,0, Aclimação
577382.25,Rua Paula Ney,78,2,1, Aclimação
1199000.0,Rua Dona Brígida,87,1,2, Aclimação
995000.0,Rua Gaspar Lourenço,86,2,1, Aclimação
650000.0,Rua Gregório Serrão,56,2,1, Aclimação
620000.0,Rua Paula Ney,74,2,2, Aclimação
330000.0,Rua Carlos Petit,35,1,1, Aclimação
455000.0,Rua Paula Ney,86,2,0, Aclimação
1520000.0,Rua Rodrigo Cláudio,183,3,3, Aclimação
1255000.0,Rua Almeida Torres,76,2,1, Aclimação
1125000.0,Rua Carlos Petit,74,2,2, Aclimação
1125000.0,Rua Nilo,74,1,2, Aclimação
495000.0,Rua Baltazar Lisboa,34,1,1, Aclimação
745000.0,Rua Dona Avelina,77,3,1, Aclimação
424000.0,Rua Gaspar Lourenço,32,1,0, Aclimação
690000.0,Rua Albina Barbosa,65,2,2, Aclimação
2500000.0,Rua Almeida Torres,134,2,2, Aclimação
1400000.0,Rua Doutor Nicolau de Sousa Queirós,137,3,2, Aclimação
1200000.0,Rua Doutor Nicolau de Sousa Queirós,135,3,1, Aclimação
960000.0,Rua Paula Ney,67,2,2, Aclimação
830000.0,Rua Topázio,55,1,1, Aclimação
1015866.39,Rua Doutor Nicolau de Sousa Queirós,137,3,1, Aclimação
750000.0,Rua Bueno de Andrade,79,3,2, Aclimação
359000.0,Rua Tenente Azevedo,50,1,0, Aclimação
950000.0,Rua Dona Brígida,70,2,2, Aclimação
1050000.0,Rua Paula Ney,70,2,2, Aclimação
730000.0,Rua Castro Alves,65,2,2, Aclimação
650000.0,Rua Topázio,33,1,1, Aclimação
850000.0,Rua Espírito Santo,103,2,2, Aclimação
2070000.0,Rua Joaquim Távora,140,3,2, Aclimação
457000.0,Rua Doutor Nicolau de Sousa Queirós,82,2,0, Aclimação
460000.0,Rua Vergueiro,24,1,0, Aclimação
1650000.0,Rua Safira,167,3,3, Aclimação
1900000.0,Rua Castro Alves,250,4,3, Aclimação
384000.0,Rua Gaspar Lourenço,32,1,0, Aclimação
2395000.0,Rua Dona Carolina,150,3,3, Aclimação
4400000.0,Rua Nilo,272,4,6, Aclimação
960000.0,Rua Almeida Torres,76,2,1, Aclimação
1020000.0,Rua Paula Ney,69,2,1, Aclimação
3200000.0,Rua Castro Alves,342,4,4, Aclimação
2250000.0,Rua Castro Alves,250,4,2, Aclimação
1244170.56,Avenida Armando Ferrentini,115,3,2, Aclimação
360000.0,Rua Paula Ney,25,1,0, Aclimação
575000.0,Rua Vergueiro,24,1,0, Aclimação
1000000.0,Rua Paula Ney,84,2,1, Aclimação
1700000.0,Avenida Engenheiro Luiz Gomes Cardim Sangirardi,200,4,4, Aclimação
1060000.0,Rua Carlos Petit,73,1,2, Aclimação
674172.12,Rua Bueno de Andrade,65,3,2, Aclimação
650000.0,Rua da União,100,2,1, Aclimação
2430000.0,Rua Rodrigo Cláudio,110,4,4, Aclimação
545000.0,Rua José do Patrocínio,84,2,1, Aclimação
320000.0,Rua Tenente Azevedo,50,2,1, Aclimação
1758251.48,Rua Júpiter,220,4,3, Aclimação
2380000.0,Avenida Engenheiro Luiz Gomes Cardim Sangirardi,198,4,3, Aclimação
310000.0,Rua Vergueiro,14,1,0, Aclimação
1300000.0,Rua Doutor Nicolau de Sousa Queirós,137,3,1, Aclimação
820000.0,Rua Paula Ney,81,3,2, Aclimação
729000.0,Rua Gaspar Lourenço,47,2,1, Aclimação
780000.0,Rua Espírito Santo,76,2,2, Aclimação
2500000.0,Rua Loureiro da Cruz,226,4,3, Aclimação
630000.0,Rua Tenente Azevedo,120,3,1, Aclimação
4500000.0,Rua Nilo,272,4,6, Aclimação
580000.0,Avenida Lacerda Franco,87,2,1, Aclimação
525000.0,Rua Mazzini,88,2,1, Aclimação
342000.0,Rua Bueno de Andrade,45,2,1, Aclimação
4200000.0,Rua Castro Alves,370,4,4, Aclimação
300000.0,Rua Topázio,44,1,0, Aclimação
4600000.0,Avenida Armando Ferrentini,423,4,6, Aclimação
650000.0,Rua Gaspar Lourenço,43,2,1, Aclimação
2550000.0,Rua Correia Dias,181,3,3, Aclimação
2450000.0,Rua Dona Carolina,150,3,1, Aclimação
740000.0,Rua Bueno de Andrade,80,3,2, Aclimação
1095500.49,Rua Baturité,120,3,3, Aclimação
690000.0,Rua Gaspar Lourenço,49,2,1, Aclimação
1900000.0,Rua Castro Alves,145,4,3, Aclimação
3300000.0,Rua Júpiter,598,4,3, Aclimação
1300000.0,Rua Loureiro da Cruz,136,3,2, Aclimação
876646.67,Rua Augusto de Toledo,110,3,2, Aclimação
969000.0,Rua Paula Ney,60,2,1, Aclimação
920000.0,Rua Urano,118,3,2, Aclimação
1900000.0,Rua Rodrigo Cláudio,326,6,3, Aclimação
2380000.0,Rua Carlos Petit,178,3,3, Aclimação
1100000.0,Rua Rodrigo Cláudio,150,3,2, Aclimação
1199000.0,Rua Paula Ney,72,3,2, Aclimação
730000.0,Rua Doutor Neto de Araújo,57,1,1, Aclimação
899431.06,Rua Augusto de Toledo,119,3,2, Aclimação
1201390.05,Rua Bartolomeu de Gusmão,135,4,2, Aclimação
1500000.0,Rua Júpiter,182,4,3, Aclimação
1100000.0,Avenida Engenheiro Luiz Gomes Cardim Sangirardi,146,3,2, Aclimação
3800000.0,Rua Guimarães Passos,252,4,4, Aclimação
1500000.0,Rua Júpiter,190,3,2, Aclimação
1750000.0,Rua Castro Alves,196,3,3, Aclimação
1100000.0,Rua Pires da Mota,97,4,1, Aclimação
900000.0,Rua Topázio,49,2,1, Aclimação
330000.0,Rua Muniz de Sousa,43,1,0, Aclimação
766000.0,Rua Bartolomeu de Gusmão,70,2,1, Aclimação
1250000.0,Rua Bartolomeu de Gusmão,135,4,2, Aclimação
1520000.0,Rua Rodrigo Cláudio,161,3,3, Aclimação
1280000.0,Rua Castro Alves,195,4,3, Aclimação
1290000.0,Avenida Engenheiro Luiz Gomes Cardim Sangirardi,170,4,3, Aclimação
570000.0,Rua Doutor Nicolau de Sousa Queirós,54,2,1, Aclimação
1700000.0,Rua Paulo Orozimbo,234,3,3, Aclimação
670000.0,Rua Espírito Santo,104,2,1, Aclimação
1750000.0,Rua Paulo Orozimbo,210,3,3, Aclimação
1000000.0,Rua Paula Ney,81,3,2, Aclimação
1242000.0,Rua Paulo Orozimbo,78,2,2, Aclimação
2368457.0,Rua Doutor Neto de Araújo,212,4,2, Aclimação
750000.0,Rua Dona Avelina,70,1,1, Aclimação
526544.8,Rua Loureiro da Cruz,50,2,1, Aclimação
752879.94,Rua Doutor Nicolau de Sousa Queirós,124,4,1, Aclimação
1250000.0,Rua Rodrigo Cláudio,189,4,3, Aclimação
950000.0,Rua Topázio,117,3,1, Aclimação
800000.0,Rua Espírito Santo,76,3,2, Aclimação
700000.0,Rua Muniz de Sousa,93,3,2, Aclimação
2500000.0,Rua Júpiter,225,4,3, Aclimação
730000.0,Rua Tamandaré,103,3,3, Aclimação
855000.0,Avenida Lacerda Franco,87,2,1, Aclimação
850000.0,Rua Cardoso de Siqueira,98,3,2, Aclimação
1850000.0,Rua Loureiro da Cruz,230,4,3, Aclimação
900000.0,Rua da União,108,2,1, Aclimação
852000.0,Rua José do Patrocínio,106,3,2, Aclimação
950000.0,Rua Correia Dias,130,3,1, Aclimação
790000.0,Rua Topázio,107,3,2, Aclimação
998000.0,Rua Topázio,102,3,1, Aclimação
1900000.0,Rua Safira,214,4,3, Aclimação
1600000.0,Rua Rodrigo Cláudio,183,3,3, Aclimação
720000.0,Rua Doutor Nicolau de Sousa Queirós,114,2,1, Aclimação
495000.0,Rua Pires da Mota,50,2,1, Aclimação
1600000.0,Avenida Engenheiro Luiz Gomes Cardim Sangirardi,180,4,3, Aclimação
800000.0,Rua Espírito Santo,79,2,1, Aclimação
860589.96,Rua José Getúlio,150,3,1, Aclimação
599629.1,Rua Pires da Mota,70,3,1, Aclimação
720000.0,Rua Topázio,100,3,2, Aclimação
1063830.0,Rua Topázio,130,3,1, Aclimação
796920.56,Rua Paula Ney,92,3,0, Aclimação
504391.93,Rua Doutor Nicolau de Sousa Queirós,75,2,0, Aclimação
650000.0,Rua Nilo,130,3,0, Aclimação
950000.0,Rua Topázio,111,2,0, Aclimação
480000.0,Avenida Armando Ferrentini,60,1,1, Aclimação
626000.0,Rua Paulo Orozimbo,123,3,1, Aclimação
660000.0,Avenida da Aclimação,111,2,0, Aclimação
670000.0,Rua Nilo,78,2,1, Aclimação
1108184.54,Rua Topázio,150,3,0, Aclimação
630000.0,Rua Doutor Nicolau de Sousa Queirós,65,2,1, Aclimação
780000.0,Rua Batista do Carmo,90,3,1, Aclimação
486868.86,Rua Castro Alves,45,1,0, Aclimação
475000.0,Rua Muniz de Sousa,75,2,0, Aclimação
653251.02,Rua Batista do Carmo,99,2,0, Aclimação
510000.0,Rua Pires da Mota,77,3,0, Aclimação
720000.0,Rua Conselheiro Furtado,120,2,1, Aclimação
1150000.0,Rua José Getúlio,167,3,1, Aclimação
692000.0,Rua Apeninos,72,1,1, Aclimação
700000.0,Rua Espírito Santo,142,3,1, Aclimação
795000.0,Rua Castro Alves,72,2,2, Aclimação
1140000.0,Rua Arujá,79,2,0, Aclimação
426000.0,Rua Conselheiro Furtado,54,2,1, Aclimação
490000.0,Rua Pais de Andrade,95,2,0, Aclimação
565000.0,Rua Vergueiro,73,2,1, Aclimação
485000.0,Avenida Armando Ferrentini,40,1,1, Aclimação
530000.0,Rua Artur Sabóia,56,2,1, Aclimação
460000.0,Rua Doutor Nicolau de Sousa Queirós,57,1,0, Aclimação
830000.0,Rua Rodrigo Cláudio,88,3,2, Aclimação
700000.0,Rua do Paraíso,76,2,1, Aclimação
598000.0,Rua Castro Alves,58,2,1, Aclimação
1850000.0,Rua Bartolomeu de Gusmão,151,3,3, Aclimação
998000.0,Rua Paula Ney,70,2,1, Aclimação
896000.0,Rua Doutor Neto de Araújo,128,2,0, Aclimação
380000.0,Rua Apeninos,35,1,0, Aclimação
2100000.0,Rua Doutor João Maia,282,4,4, Aclimação
300000.0,Rua Bueno de Andrade,39,1,1, Aclimação
570000.0,Avenida Lacerda Franco,68,2,1, Aclimação
449900.0,Rua Topázio,58,1,0, Aclimação
630000.0,Rua Doutor Neto de Araújo,63,2,1, Aclimação
500000.0,Rua Castro Alves,68,3,0, Aclimação
1800000.0,Rua Safira,184,4,3, Aclimação
470000.0,Rua Doutor Nicolau de Sousa Queirós,40,1,1, Aclimação
699000.0,Rua Dona Avelina,82,1,1, Aclimação
333905.9,Rua Muniz de Sousa,52,1,0, Aclimação
495000.0,Rua Tamandaré,79,2,1, Aclimação
480000.0,Rua Gregório Serrão,75,2,0, Aclimação
335000.0,Rua José Getúlio,40,1,0, Aclimação
510000.0,Avenida da Aclimação,55,1,1, Aclimação
420000.0,Rua Antônio Tavares,86,2,0, Aclimação
1800000.0,Rua Castro Alves,185,3,3, Aclimação
478947.0,Rua Muniz de Sousa,77,3,0, Aclimação
460000.0,Rua Paulo Orozimbo,66,1,0, Aclimação
550000.0,Rua Alabastro,64,1,1, Aclimação
399000.0,Rua Paulo Orozimbo,85,3,1, Aclimação
430000.0,Rua Senador Felício dos Santos,78,2,1, Aclimação
355000.0,Rua Pires da Mota,58,1,0, Aclimação
658000.0,Rua Paulo Orozimbo,88,2,1, Aclimação
650000.0,Rua Apeninos,70,1,1, Aclimação
900000.0,Rua Espírito Santo,110,3,1, Aclimação
1070000.0,Rua do Paraíso,100,3,2, Aclimação
270000.0,Rua Miguel Teles Júnior,42,1,0, Aclimação
3500000.0,Rua Guimarães Passos,316,5,5, Aclimação
3700000.0,Rua Guimarães Passos,316,5,5, Aclimação
283000.26,Rua Almeida Torres,34,1,0, Aclimação
586000.0,Rua Carlos Petit,55,2,1, Aclimação
1900000.0,Rua Paulo Orozimbo,248,3,4, Aclimação
280000.0,Rua Castro Alves,36,1,0, Aclimação
855000.0,Rua Castro Alves,110,3,1, Aclimação
2380000.0,Avenida Engenheiro Luiz Gomes Cardim Sangirardi,204,4,5, Aclimação
1180000.0,Rua Rodrigo Cláudio,140,4,2, Aclimação
1070000.0,Rua José Getúlio,134,3,2, Aclimação
710000.0,Rua Castro Alves,60,2,2, Aclimação
890000.0,Rua Machado de Assis,58,2,1, Aclimação
790000.0,Rua Topázio,153,3,2, Aclimação
425000.0,Rua Almeida Torres,70,2,0, Aclimação
900000.0,Avenida Lacerda Franco,145,3,1, Aclimação
1000000.0,Rua Topázio,153,3,1, Aclimação
414000.0,Rua Vergueiro,34,1,1, Aclimação
