preço (R$),endereço,área (m2),quartos,vagas,bairro
1295000.0,rua paula ney,94,3,2,aclimacao
1410000.0,rua castro alves,195,4,3,aclimacao
899000.0,rua urano,118,3,2,aclimacao
540000.0,rua alvaro guimaraes,29,0,1,aclimacao
1175000.0,rua bartolomeu de gusmao,135,4,2,aclimacao
633000.0,rua rodrigo claudio,65,3,2,aclimacao
1570000.0,rua rodrigo claudio,184,3,2,aclimacao
2150000.0,rua machado de assis,168,3,3,aclimacao
460000.0,rua machado de assis,84,2,0,aclimacao
577382.25,rua paula ney,78,2,1,aclimacao
1199000.0,rua dona brigida,87,1,2,aclimacao
995000.0,rua gaspar lourenco,86,2,1,aclimacao
650000.0,rua gregorio serrao,56,2,1,aclimacao
620000.0,rua paula ney,74,2,2,aclimacao
330000.0,rua carlos petit,35,1,1,aclimacao
455000.0,rua paula ney,86,2,0,aclimacao
1520000.0,rua rodrigo claudio,183,3,3,aclimacao
1255000.0,rua almeida torres,76,2,1,aclimacao
1125000.0,rua carlos petit,74,2,2,aclimacao
1125000.0,rua nilo,74,1,2,aclimacao
495000.0,rua baltazar lisboa,34,1,1,aclimacao
745000.0,rua dona avelina,77,3,1,aclimacao
424000.0,rua gaspar lourenco,32,1,0,aclimacao
690000.0,rua albina barbosa,65,2,2,aclimacao
2500000.0,rua almeida torres,134,2,2,aclimacao
1400000.0,rua doutor nicolau de sousa queiros,137,3,2,aclimacao
1200000.0,rua doutor nicolau de sousa queiros,135,3,1,aclimacao
960000.0,rua paula ney,67,2,2,aclimacao
830000.0,rua topazio,55,1,1,aclimacao
1015866.39,rua doutor nicolau de sousa queiros,137,3,1,aclimacao
750000.0,rua bueno de andrade,79,3,2,aclimacao
359000.0,rua tenente azevedo,50,1,0,aclimacao
950000.0,rua dona brigida,70,2,2,aclimacao
1050000.0,rua paula ney,70,2,2,aclimacao
730000.0,rua castro alves,65,2,2,aclimacao
650000.0,rua topazio,33,1,1,aclimacao
850000.0,rua espirito santo,103,2,2,aclimacao
2070000.0,rua joaquim tavora,140,3,2,aclimacao
457000.0,rua doutor nicolau de sousa queiros,82,2,0,aclimacao
460000.0,rua vergueiro,24,1,0,aclimacao
1650000.0,rua safira,167,3,3,aclimacao
1900000.0,rua castro alves,250,4,3,aclimacao
384000.0,rua gaspar lourenco,32,1,0,aclimacao
2395000.0,rua dona carolina,150,3,3,aclimacao
4400000.0,rua nilo,272,4,6,aclimacao
960000.0,rua almeida torres,76,2,1,aclimacao
1020000.0,rua paula ney,69,2,1,aclimacao
3200000.0,rua castro alves,342,4,4,aclimacao
2250000.0,rua castro alves,250,4,2,aclimacao
1244170.56,avenida armando ferrentini,115,3,2,aclimacao
360000.0,rua paula ney,25,1,0,aclimacao
575000.0,rua vergueiro,24,1,0,aclimacao
1000000.0,rua paula ney,84,2,1,aclimacao
1700000.0,avenida engenheiro luiz gomes cardim sangirardi,200,4,4,aclimacao
1060000.0,rua carlos petit,73,1,2,aclimacao
674172.12,rua bueno de andrade,65,3,2,aclimacao
650000.0,rua da uniao,100,2,1,aclimacao
2430000.0,rua rodrigo claudio,110,4,4,aclimacao
545000.0,rua jose do patrocinio,84,2,1,aclimacao
320000.0,rua tenente azevedo,50,2,1,aclimacao
1758251.48,rua jupiter,220,4,3,aclimacao
2380000.0,avenida engenheiro luiz gomes cardim sangirardi,198,4,3,aclimacao
310000.0,rua vergueiro,14,1,0,aclimacao
1300000.0,rua doutor nicolau de sousa queiros,137,3,1,aclimacao
820000.0,rua paula ney,81,3,2,aclimacao
729000.0,rua gaspar lourenco,47,2,1,aclimacao
780000.0,rua espirito santo,76,2,2,aclimacao
2500000.0,rua loureiro da cruz,226,4,3,aclimacao
630000.0,rua tenente azevedo,120,3,1,aclimacao
4500000.0,rua nilo,272,4,6,aclimacao
580000.0,avenida lacerda franco,87,2,1,aclimacao
525000.0,rua mazzini,88,2,1,aclimacao
342000.0,rua bueno de andrade,45,2,1,aclimacao
4200000.0,rua castro alves,370,4,4,aclimacao
300000.0,rua topazio,44,1,0,aclimacao
4600000.0,avenida armando ferrentini,423,4,6,aclimacao
650000.0,rua gaspar lourenco,43,2,1,aclimacao
2550000.0,rua correia dias,181,3,3,aclimacao
2450000.0,rua dona carolina,150,3,1,aclimacao
740000.0,rua bueno de andrade,80,3,2,aclimacao
1095500.49,rua baturite,120,3,3,aclimacao
690000.0,rua gaspar lourenco,49,2,1,aclimacao
1900000.0,rua castro alves,145,4,3,aclimacao
3300000.0,rua jupiter,598,4,3,aclimacao
1300000.0,rua loureiro da cruz,136,3,2,aclimacao
876646.67,rua augusto de toledo,110,3,2,aclimacao
969000.0,rua paula ney,60,2,1,aclimacao
920000.0,rua urano,118,3,2,aclimacao
1900000.0,rua rodrigo claudio,326,6,3,aclimacao
2380000.0,rua carlos petit,178,3,3,aclimacao
1100000.0,rua rodrigo claudio,150,3,2,aclimacao
1199000.0,rua paula ney,72,3,2,aclimacao
730000.0,rua doutor neto de araujo,57,1,1,aclimacao
899431.06,rua augusto de toledo,119,3,2,aclimacao
1201390.05,rua bartolomeu de gusmao,135,4,2,aclimacao
1500000.0,rua jupiter,182,4,3,aclimacao
1100000.0,avenida engenheiro luiz gomes cardim sangirardi,146,3,2,aclimacao
3800000.0,rua guimaraes passos,252,4,4,aclimacao
1500000.0,rua jupiter,190,3,2,aclimacao
1750000.0,rua castro alves,196,3,3,aclimacao
1100000.0,rua pires da mota,97,4,1,aclimacao
900000.0,rua topazio,49,2,1,aclimacao
330000.0,rua muniz de sousa,43,1,0,aclimacao
766000.0,rua bartolomeu de gusmao,70,2,1,aclimacao
1250000.0,rua bartolomeu de gusmao,135,4,2,aclimacao
1520000.0,rua rodrigo claudio,161,3,3,aclimacao
1280000.0,rua castro alves,195,4,3,aclimacao
1290000.0,avenida engenheiro luiz gomes cardim sangirardi,170,4,3,aclimacao
570000.0,rua doutor nicolau de sousa queiros,54,2,1,aclimacao
1700000.0,rua paulo orozimbo,234,3,3,aclimacao
670000.0,rua espirito santo,104,2,1,aclimacao
1750000.0,rua paulo orozimbo,210,3,3,aclimacao
1000000.0,rua paula ney,81,3,2,aclimacao
1242000.0,rua paulo orozimbo,78,2,2,aclimacao
2368457.0,rua doutor neto de araujo,212,4,2,aclimacao
750000.0,rua dona avelina,70,1,1,aclimacao
526544.8,rua loureiro da cruz,50,2,1,aclimacao
752879.94,rua doutor nicolau de sousa queiros,124,4,1,aclimacao
1250000.0,rua rodrigo claudio,189,4,3,aclimacao
950000.0,rua topazio,117,3,1,aclimacao
800000.0,rua espirito santo,76,3,2,aclimacao
700000.0,rua muniz de sousa,93,3,2,aclimacao
2500000.0,rua jupiter,225,4,3,aclimacao
730000.0,rua tamandare,103,3,3,aclimacao
855000.0,avenida lacerda franco,87,2,1,aclimacao
850000.0,rua cardoso de siqueira,98,3,2,aclimacao
1850000.0,rua loureiro da cruz,230,4,3,aclimacao
900000.0,rua da uniao,108,2,1,aclimacao
852000.0,rua jose do patrocinio,106,3,2,aclimacao
950000.0,rua correia dias,130,3,1,aclimacao
790000.0,rua topazio,107,3,2,aclimacao
998000.0,rua topazio,102,3,1,aclimacao
1900000.0,rua safira,214,4,3,aclimacao
1600000.0,rua rodrigo claudio,183,3,3,aclimacao
720000.0,rua doutor nicolau de sousa queiros,114,2,1,aclimacao
495000.0,rua pires da mota,50,2,1,aclimacao
1600000.0,avenida engenheiro luiz gomes cardim sangirardi,180,4,3,aclimacao
800000.0,rua espirito santo,79,2,1,aclimacao
860589.96,rua jose getulio,150,3,1,aclimacao
599629.1,rua pires da mota,70,3,1,aclimacao
720000.0,rua topazio,100,3,2,aclimacao
1063830.0,rua topazio,130,3,1,aclimacao
796920.56,rua paula ney,92,3,0,aclimacao
504391.93,rua doutor nicolau de sousa queiros,75,2,0,aclimacao
650000.0,rua nilo,130,3,0,aclimacao
950000.0,rua topazio,111,2,0,aclimacao
480000.0,avenida armando ferrentini,60,1,1,aclimacao
626000.0,rua paulo orozimbo,123,3,1,aclimacao
